StorageType,typeSystem
anyURI,http://www.w3.org/2001/XMLSchema-datatypes
boolean,http://www.w3.org/2001/XMLSchema-datatypes
byte,http://www.w3.org/2001/XMLSchema-datatypes
date,http://www.w3.org/2001/XMLSchema-datatypes
dateTime,http://www.w3.org/2001/XMLSchema-datatypes
decimal,http://www.w3.org/2001/XMLSchema-datatypes
double,http://www.w3.org/2001/XMLSchema-datatypes
duration,http://www.w3.org/2001/XMLSchema-datatypes
float,http://www.w3.org/2001/XMLSchema-datatypes
gDay,http://www.w3.org/2001/XMLSchema-datatypes
gMonth,http://www.w3.org/2001/XMLSchema-datatypes
gMonthDay,http://www.w3.org/2001/XMLSchema-datatypes
gYear,http://www.w3.org/2001/XMLSchema-datatypes
gYearMonth,http://www.w3.org/2001/XMLSchema-datatypes
int,http://www.w3.org/2001/XMLSchema-datatypes
integer,http://www.w3.org/2001/XMLSchema-datatypes
long,http://www.w3.org/2001/XMLSchema-datatypes
short,http://www.w3.org/2001/XMLSchema-datatypes
string,http://www.w3.org/2001/XMLSchema-datatypes
time,http://www.w3.org/2001/XMLSchema-datatypes
