id,name,custom,unitType,abbreviation,multiplierToSI,parentSI,constantToSI,description
ampere,ampere,f,current,A,1,,,SI unit of electrical current
amperePerMeter,amperePerMeter,f,magneticFieldStrength,A/m,1,,,ampere per meter
amperePerSquareMeter,amperePerSquareMeter,f,currentDensity,A/m²,1,,,ampere per meter squared
are,are,f,area,a,100,squareMeter,,100 square meters
atmosphere,atmosphere,f,pressure,atm,101325,pascal,,1 atmosphere = 101325 pascals
bar,bar,f,pressure,bar,100000,pascal,,1 bar = 100000 pascals
becquerel,becquerel,f,radionucleotideActivity,Bq,1,,,becquerel
britishThermalUnit,britishThermalUnit,f,energy,btu,1055.0559,joule,,1 btu = 1055.0559 J
bushel,bushel,f,volume,b,0.035239,liter,,1 bushel = 35.23907 liters
bushelsPerAcre,bushelsPerAcre,f,volumetricArea,,0.00870,litersPerSquareMeter,,bushels per acre -- 1 bushel = 35.23907 liters/1 acre = 4046.8564 squareMeters
calorie,calorie,f,energy,cal,4.1868,joule,,1 cal = 4.1868 J
candela,candela,f,luminosity,cd,1,,,SI unit of luminosity
candelaPerSquareMeter,candelaPerSquareMeter,f,luminance,cd/m²,1,,,candela Per Square Meter
centigram,centigram,f,mass,cg,0.00001,kilogram,,0.00001 kg
centimeter,centimeter,f,,cm,0.01,meter,,.01 meters
centimeterPerYear,centimeterPerYear,f,speed,cm/year,0.000000000317098,metersPerSecond,,centimeter Per Year
centisecond,centisecond,f,,csec,0.01,second,,1/100 of a second
coulomb,coulomb,f,charge,C,1,,,SI unit of charge
cubicCentimetersPerCubicCentimeters,cubicCentimetersPerCubicCentimeters,f,volumePerVolume,,1,,,cubic centimeters per cubic centimeter
cubicFeetPerSecond,cubicFeetPerSecond,f,volumetricRate,ft³/sec,28.316874,litersPerSecond,,cubic feet per second
cubicInch,cubicInch,f,volume,in³,0.000016387064,liter,,cubic inch
cubicMeter,cubicMeter,f,volume,m³,1,,,cubic meter
cubicMeterPerKilogram,cubicMeterPerKilogram,f,specificVolume,m³/kg,1,,,cubic meters per kilogram
cubicMetersPerSecond,cubicMetersPerSecond,f,volumetricRate,m³/s,1,litersPerSecond,,cubic meters per second
cubicMicrometersPerGram,cubicMicrometersPerGram,f,specificVolume,µm³/kg,1,,,cubic micrometers per gram
day,day,t,time,day,86400,second,,day (86400 seconds)
decibar,decibar,t,pressure,dbar,10000,pascal,,decibar = 0.1 bar
decigram,decigram,f,mass,dg,0.0001,kilogram,,0.0001 kg
decimeter,decimeter,f,,dm,0.1,meter,,.1 meters
decisecond,decisecond,f,,dsec,0.1,second,,1/10 of a second
dekagram,dekagram,f,mass,dag,0.01,kilogram,,.01 kg
dekameter,dekameter,f,,dam,10,meter,,10 meters
dekasecond,dekasecond,f,,dasec,10,second,,10 seconds
disintegrationsPerMinute,disintegrationsPerMinute,t,radionucleotideActivity,DPM,0.0166666667,becquerel,,DPM = radioactive disintegrations per minute
disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram,t,radionucleotideActivity,DPM/g,,,,DPM/g = radioactive disintegrations per minute per gram of sample
fahrenheit,fahrenheit,f,,F,0.556,kelvin,-17.778,An obsolescent unit of temperature still used in popular meteorology
farad,farad,f,capacitance,F,1,,,farad
fathom,fathom,f,,,1.8288,meter,,6 feet
feetPerDay,feetPerDay,f,speed,ft/day,0.00000352778,metersPerSecond,,feet per day
feetPerHour,feetPerHour,f,speed,ft/hr,0.000084667,metersPerSecond,,feet per hour
feetPerSecond,feetPerSecond,f,speed,ft/s,0.3048,metersPerSecond,,feet per second
feetSquaredPerDay,feetSquaredPerDay,f,transmissivity,ft²/day,0.000124586,metersSquaredPerSecond,,feet squared per day
foot,foot,f,,ft,0.3048,meter,,12 inches
Foot_Gold_Coast,Foot_Gold_Coast,f,,gcft,0.3047997,meter,,12 inches
Foot_US,Foot_US,f,,usft,0.3048,meter,,12 inches
footPound,footPound,f,energy,,1.355818,joule,,1 ft-lbs = 1.355818 J
gallon,gallon,f,,gal,3.785412,liter,,US liquid gallon
grad,grad,f,angle,grad,0.015707,radian,,grad
gram,gram,f,mass,g,0.001,kilogram,,0.001 kg
